"City","Restaurant","Food","Decor","Service","Cost"
"Boston","Al_Dente",21,14,21,30
"Boston","Anchovies",18,14,18,20
"Boston","Antico_Forno",22,16,18,28
"Boston","Antonio's_Cucina_Italian",22,14,21,24
"Boston","Armani",19,20,17,39
"Boston","Artu",22,15,19,27
"Boston","Assagio",23,21,22,31
"Boston","Bacco",21,20,20,35
"Boston","Bertucci's",17,14,16,19
"Boston","Bricco",23,22,21,45
"Boston","Caliterra",19,20,21,35
"Boston","Canestero's",21,14,19,18
"Boston","Cantina_Italiana",23,16,22,30
"Boston","Carmen",27,22,22,39
"Boston","Ciao_Bella",17,16,17,34
"Boston","Cibo",23,15,21,26
"Boston","Daily_Catch",24,10,18,27
"Boston","Davide",22,18,21,44
"Boston","Davio's",23,23,22,48
"Boston","Dom's",25,17,23,35
"Boston","Euno",21,24,22,36
"Boston","Figs",22,17,18,26
"Boston","Filippo",20,19,23,33
"Boston","Five_North_Square",20,17,19,35
"Boston","Florentine_Cafe",19,21,18,33
"Boston","Galleria_Umberto",26,7,16,9
"Boston","Giacomo's",25,16,20,28
"Boston","Grotto",25,18,22,37
"Boston","Il_Panino",20,11,15,14
"Boston","Joe_Tecce's",17,15,17,30
"Boston","L'Osteria",22,15,19,28
"Boston","La_Famiglia_Giorgio",18,12,18,22
"Boston","La_Summa",22,17,21,31
"Boston","Limoncello",21,18,20,35
"Boston","Lucca",24,23,23,42
"Boston","Maggiano's",19,18,19,30
"Boston","Mamma_Maria",25,23,23,49
"Boston","Massimino's",23,16,21,27
"Boston","Maurizio's",24,15,21,36
"Boston","Monica's",24,19,22,33
"Boston","Mother_Anna's",21,13,19,27
"Boston","No_9_Park",27,24,26,61
"Boston","Pagliuca's",22,14,20,27
"Boston","Papa_Razzi",18,17,18,28
"Boston","Piattini",23,19,20,31
"Boston","Piccolo_Venezia",21,18,18,25
"Boston","Piccolo_Nido",20,16,22,33
"Boston","Pomodoro",24,12,17,30
"Boston","Prezza",26,23,24,49
"Boston","Ristorante_Fiore",21,21,19,38
"Boston","Ristorante_Lucia",21,17,20,32
"Boston","Ristorante_Toscano",20,17,19,40
"Boston","Ristorante_Villa_Francesca",20,18,20,36
"Boston","Saraceno",22,21,22,37
"Boston","Scoozi",17,11,15,20
"Boston","Sorento's",21,17,16,24
"Boston","Strega_Ristorante",23,20,22,36
"Boston","Taranta",24,21,23,37
"Boston","Teatro",24,21,21,40
"Boston","Terramia_Ristorante",25,18,21,42
"Boston","Trattoria_di_Monica's",24,19,22,33
"Boston","Trattoria_Il_Panino",23,17,20,32
"Boston","Umbria",24,23,23,45
"Boston","Via_Matta",23,22,22,50
"London","Al_Duca",18,15,18,80
"London","Alloro",22,17,20,94
"London","Aperitivo",17,13,16,60
"London","Ark",21,21,20,86
"London","Bertorelli",17,16,17,64
"London","Brunello",20,26,20,124
"London","Buona_Sera",17,15,19,46
"London","Caldesi",22,18,21,78
"London","Camerino",20,17,23,82
"London","Cantina_del_Ponte",16,13,14,66
"London","Caraffini",21,16,21,80
"London","Caravaggio",17,13,15,84
"London","Carluccio's",18,14,15,46
"London","Carpaccio",19,17,18,90
"London","Cecconi's",22,20,21,108
"London","Cipriani",20,20,18,134
"London","Ciro's_Pizza",16,14,15,42
"London","Clos_Maggiore",24,24,24,86
"London","Como_Lario",18,13,19,92
"London","Daphne's",22,20,20,96
"London","Diverso",20,18,18,78
"London","Elena's_l'Etoile",22,18,22,80
"London","Elistano",18,13,17,66
"London","Essenza",21,14,19,68
"London","Fiore",24,21,25,96
"London","Franco's",17,15,19,80
"London","Frankie's_Italian_Bar",14,14,14,66
"London","Friends",20,15,19,54
"London","Getti",18,13,19,66
"London","Giardinetto",21,16,23,110
"London","Giovanni's",21,16,20,66
"London","Harry's_Bar",23,24,25,122
"London","Il_Convivio",23,21,22,94
"London","Il_Portico",23,17,25,64
"London","l'Incontro",19,20,16,102
"London","La_Famiglia",21,14,20,84
"London","La_Genova",23,19,26,76
"London","La_Porchetta_Pizzeria",20,12,17,34
"London","Latium",22,17,20,80
"London","Little_Italy",18,11,15,58
"London","Locanda_Locatelli",25,23,23,108
"London","Locanda_Ottoemezzo",23,17,21,84
"London","Luciano",20,17,12,100
"London","Lucio",25,23,23,94
"London","Made_in_Italy",20,14,14,50
"London","Manicomio",21,17,16,78
"London","Mediterraneo",20,15,17,70
"London","Mimmo_D'Ischia",21,16,21,90
"London","Montepeliano",18,17,19,86
"London","Monza",19,14,18,74
"London","Oliveto",20,13,16,66
"London","Olivo",23,16,21,74
"London","Orso",21,17,20,78
"London","Osteria_Basilico",23,18,19,66
