P,S,Be,Ba,New
48.5,1.10,3,1,0
55.0,1.01,3,2,0
68.0,1.45,3,2,0
137.0,2.40,3,3,0
309.4,3.30,4,3,1
17.5,.40,1,1,0
19.6,1.28,3,1,0
24.5,.74,3,1,0
34.8,.78,2,1,0
32.0,.97,3,1,0
28.0,.84,3,1,0
49.9,1.08,2,2,0
59.9,.99,2,1,0
61.5,1.01,3,2,0
60.0,1.34,3,2,0
65.9,1.22,3,1,0
67.9,1.28,3,2,0
68.9,1.29,3,2,0
69.9,1.52,3,2,0
70.5,1.25,3,2,0
72.9,1.28,3,2,0
72.5,1.28,3,1,0
72.0,1.36,3,2,0
71.0,1.20,3,2,0
76.0,1.46,3,2,0
72.9,1.56,4,2,0
73.0,1.22,3,2,0
70.0,1.40,2,2,0
76.0,1.15,2,2,0
69.0,1.74,3,2,0
75.5,1.62,3,2,0
76.0,1.66,3,2,0
81.8,1.33,3,2,0
84.5,1.34,3,2,0
83.5,1.40,3,2,0
86.0,1.15,2,2,1
86.9,1.58,3,2,1
86.9,1.58,3,2,1
86.9,1.58,3,2,1
87.9,1.71,3,2,0
88.1,2.10,3,2,0
85.9,1.27,3,2,0
89.5,1.34,3,2,0
87.4,1.25,3,2,0
87.9,1.68,3,2,0
88.0,1.55,3,2,0
90.0,1.55,3,2,0
96.0,1.36,3,2,1
99.9,1.51,3,2,1
95.5,1.54,3,2,1
98.5,1.51,3,2,0
100.1,1.85,3,2,0
99.9,1.62,4,2,1
101.9,1.40,3,2,1
101.9,1.92,4,2,0
102.3,1.42,3,2,1
110.8,1.56,3,2,1
105.0,1.43,3,2,1
97.9,2.00,3,2,0
106.3,1.45,3,2,1
106.5,1.65,3,2,0
116.0,1.72,4,2,1
108.0,1.79,4,2,1
107.5,1.85,3,2,0
109.9,2.06,4,2,1
110.0,1.76,4,2,0
120.0,1.62,3,2,1
115.0,1.80,4,2,1
113.4,1.98,3,2,0
114.9,1.57,3,2,0
115.0,2.19,3,2,0
115.0,2.07,4,2,0
117.9,1.99,4,2,0
110.0,1.55,3,2,0
115.0,1.67,3,2,0
124.0,2.40,4,2,0
129.9,1.79,4,2,1
124.0,1.89,3,2,0
128.0,1.88,3,2,1
132.4,2.00,4,2,1
139.3,2.05,4,2,1
139.3,2.00,4,2,1
139.7,2.03,3,2,1
142.0,2.12,3,3,0
141.3,2.08,4,2,1
147.5,2.19,4,2,0
142.5,2.40,4,2,0
148.0,2.40,5,2,0
149.0,3.05,4,2,0
150.0,2.04,3,3,0
172.9,2.25,4,2,1
190.0,2.57,4,3,1
280.0,3.85,4,3,0
