nation,GDP,Unemploy,Inequal,Health,Phys,C02,Parlia,FemEcon
Norway,38454,4.6,6.1,8.6,313,9.9,37.9,87
Iceland,33051,2.5,I,8.8,362,7.6,33.3,87
Australia,30331,5.1,12.5,6.4,247,18,28.3,79
Ireland,38827,4.3,9.4,5.8,279,10.3,14.2,72
Sweden,29541,5.6,6.2,8,328,5.9,45.3,87
Canada,31263,6.8,9.4,6.9,214,17.9,24.3,83
Japan,29251,4.4,4.5,6.4,198,9.7,10.7,65
United-States,39676,5.1,15.9,6.8,256,19.8,15,81
Switzerland,33040,4.1,9,6.7,361,5.6,24.8,79
Netherlands,31789,6.2,9.2,6.1,315,8.7,34.2,76
Finland,29951,8.6,5.6,5.7,316,13,37.5,86
Luxembourg,69961,4.6,I,6.2,266,22,23.3,68
Belgium,31096,8.4,8.2,6.3,449,8.3,35.7,72
Austria,32276,5.8,6.9,5.1,338,8.6,32.2,75
Denmark,31914,4.9,8.1,7.5,293,10.1,36.9,84
France,29300,10.0,9.1,7.7,337,6.2,13.9,79
Italy,28180,7.7,11.6,6.3,420,7.7,16.1,61
United-Kingdom,30821,4.8,13.8,6.9,230,9.4,18.5,79
Spain,25047,9.1,10.3,5.5,330,7.3,30.5,65
New-Zealand,23413,3.6,12.5,6.3,237,8.8,32.2,81
Germany,28303,9.3,6.9,8.7,337,9.8,30.5,76
Greece,22205,10.6,10.2,5.1,438,8.7,13,66
Portugal,19629,7.5,15,6.7,342,5.6,21.3,79
